msisdn,imsi,plan_name,monthly_quota_gb,default_5qi,is_premium,device_type,priority_arp,roaming_allowed
918236944293,4043162397257,Gold_Family,100,5,True,OnePlus 11,1,True
918480007919,4041859708651,Pay_As_You_Go,30,9,False,iPhone 15,5,True
919433077659,4047182253260,Pay_As_You_Go,30,9,False,iPhone 15,5,True
918414809199,4049042851345,Super_Streamer_5G,100,5,True,Samsung S24,1,False
917744718644,4045883416505,Gold_Family,100,5,True,iPhone 15,1,True
919677002257,4043187803965,Basic_4G,30,9,False,OnePlus 11,5,True
917319260041,4048041858829,Basic_4G,30,9,False,OnePlus 11,5,True
919026223314,4048558416065,Basic_4G,30,9,False,Samsung S24,5,False
918717782373,4046218289751,Super_Streamer_5G,100,5,True,Samsung S24,1,False
918127589646,4049152873249,Pay_As_You_Go,30,9,False,Xiaomi Redmi Note,5,False
917258269206,4041228456683,Super_Streamer_5G,100,5,True,Xiaomi Redmi Note,1,True
919630718598,4045118783111,Basic_4G,30,9,False,Samsung S24,5,False
917976209494,4049688599138,Super_Streamer_5G,100,5,True,Xiaomi Redmi Note,1,True
919706397373,4044476844775,Super_Streamer_5G,100,5,True,iPhone 15,1,False
919311506501,4041576018764,Basic_4G,30,9,False,OnePlus 11,5,True
919726390398,4041037176017,Pay_As_You_Go,30,9,False,iPhone 15,5,False
919791644389,4044300840116,Basic_4G,30,9,False,OnePlus 11,5,True
918195904547,4041968593482,Gold_Family,100,5,True,iPhone 15,1,False
918126677164,4043602460960,Basic_4G,30,9,False,iPhone 15,5,False
919993494172,4042606123552,Super_Streamer_5G,100,5,True,OnePlus 11,1,True
918901043769,4043250221203,Super_Streamer_5G,100,5,True,Xiaomi Redmi Note,1,True
918480154565,4049183826711,Super_Streamer_5G,100,5,True,Xiaomi Redmi Note,1,False
918953555319,4042249030430,Gold_Family,100,5,True,OnePlus 11,1,False
919489457083,4044860483479,Pay_As_You_Go,30,9,False,OnePlus 11,5,True
918861042985,4049787396732,Basic_4G,30,9,False,Samsung S24,5,True
917611874584,4047534359091,Basic_4G,30,9,False,iPhone 15,5,True
918828778318,4048429358250,Basic_4G,30,9,False,OnePlus 11,5,False
917583689015,4048539819870,Basic_4G,30,9,False,iPhone 15,5,False
918565193407,4041544741381,Basic_4G,30,9,False,Xiaomi Redmi Note,5,False
918704876351,4045097965388,Pay_As_You_Go,30,9,False,iPhone 15,5,False
917092918136,4049343356718,Gold_Family,100,5,True,Xiaomi Redmi Note,1,True
919208609442,4044862784765,Gold_Family,100,5,True,Samsung S24,1,True
919332425916,4042535766144,Basic_4G,30,9,False,Samsung S24,5,False
917992114254,4042676156901,Gold_Family,100,5,True,iPhone 15,1,True
917689724831,4049126081270,Basic_4G,30,9,False,iPhone 15,5,False
918696567624,4044878208126,Super_Streamer_5G,100,5,True,OnePlus 11,1,True
919587160863,4043736417139,Basic_4G,30,9,False,iPhone 15,5,True
917928136531,4047357442875,Super_Streamer_5G,100,5,True,Xiaomi Redmi Note,1,False
919607604343,4049616068947,Super_Streamer_5G,100,5,True,iPhone 15,1,False
917925169407,4047860244844,Gold_Family,100,5,True,OnePlus 11,1,True
917257030791,4041932380415,Gold_Family,100,5,True,iPhone 15,1,True
918081201320,4048221250286,Basic_4G,30,9,False,Xiaomi Redmi Note,5,False
919930454977,4041453416659,Gold_Family,100,5,True,Xiaomi Redmi Note,1,True
917747365323,4045487042133,Basic_4G,30,9,False,Xiaomi Redmi Note,5,False
919787443624,4048423463295,Pay_As_You_Go,30,9,False,Xiaomi Redmi Note,5,False
918511652536,4049062028917,Basic_4G,30,9,False,Samsung S24,5,True
918106048197,4045889446997,Pay_As_You_Go,30,9,False,Samsung S24,5,False
919121538689,4047537174693,Gold_Family,100,5,True,Samsung S24,1,False
918620319875,4046855993679,Pay_As_You_Go,30,9,False,OnePlus 11,5,False
917973646420,4043812618886,Pay_As_You_Go,30,9,False,Xiaomi Redmi Note,5,True
918385002688,4046609108034,Super_Streamer_5G,100,5,True,iPhone 15,1,False
918933023520,4048853108175,Pay_As_You_Go,30,9,False,Samsung S24,5,True
919968302707,4042062700111,Super_Streamer_5G,100,5,True,OnePlus 11,1,True
919169445484,4045608617141,Gold_Family,100,5,True,Xiaomi Redmi Note,1,False
918402882473,4047046637494,Gold_Family,100,5,True,OnePlus 11,1,True
919926436867,4041190166354,Basic_4G,30,9,False,Samsung S24,5,True
918862263873,4047757730123,Basic_4G,30,9,False,Samsung S24,5,False
919127350537,4042117426515,Gold_Family,100,5,True,OnePlus 11,1,False
919018292048,4049963718929,Gold_Family,100,5,True,Xiaomi Redmi Note,1,False
919361029572,4041155467534,Super_Streamer_5G,100,5,True,Xiaomi Redmi Note,1,False
918906620479,4046859492354,Pay_As_You_Go,30,9,False,Xiaomi Redmi Note,5,False
918234647009,4044778174028,Gold_Family,100,5,True,OnePlus 11,1,True
917361557113,4049497021600,Basic_4G,30,9,False,Xiaomi Redmi Note,5,True
919589738606,4047254170927,Super_Streamer_5G,100,5,True,Samsung S24,1,False
918817094448,4047155666493,Super_Streamer_5G,100,5,True,iPhone 15,1,False
918055377886,4046233373307,Super_Streamer_5G,100,5,True,Xiaomi Redmi Note,1,True
918242675422,4044625505018,Gold_Family,100,5,True,OnePlus 11,1,False
918524434432,4047413067183,Super_Streamer_5G,100,5,True,Samsung S24,1,False
918406851258,4044099046782,Super_Streamer_5G,100,5,True,OnePlus 11,1,True
918752442193,4044622890857,Super_Streamer_5G,100,5,True,Xiaomi Redmi Note,1,False
917851397833,4042899900361,Super_Streamer_5G,100,5,True,Samsung S24,1,False
917367933158,4048988173203,Pay_As_You_Go,30,9,False,iPhone 15,5,False
918567505361,4041280218846,Super_Streamer_5G,100,5,True,Xiaomi Redmi Note,1,True
917136688981,4042496165745,Basic_4G,30,9,False,iPhone 15,5,True
918762705989,4049109043828,Basic_4G,30,9,False,OnePlus 11,5,False
919127850492,4044491431491,Super_Streamer_5G,100,5,True,OnePlus 11,1,False
917501303294,4042977142022,Gold_Family,100,5,True,Xiaomi Redmi Note,1,True
917174773515,4044684641314,Pay_As_You_Go,30,9,False,Samsung S24,5,False
919975695681,4044616782794,Basic_4G,30,9,False,Xiaomi Redmi Note,5,True
919353186565,4042916810903,Basic_4G,30,9,False,OnePlus 11,5,False
919631535484,4048375111655,Super_Streamer_5G,100,5,True,OnePlus 11,1,True
918946152061,4048109375043,Pay_As_You_Go,30,9,False,Xiaomi Redmi Note,5,True
919763306108,4044330054503,Pay_As_You_Go,30,9,False,Xiaomi Redmi Note,5,False
919669594572,4044035836553,Basic_4G,30,9,False,Xiaomi Redmi Note,5,False
917787963718,4048606810216,Pay_As_You_Go,30,9,False,Xiaomi Redmi Note,5,False
917610076927,4045422867204,Pay_As_You_Go,30,9,False,Xiaomi Redmi Note,5,False
918820177947,4044253731037,Basic_4G,30,9,False,OnePlus 11,5,True
917465588856,4044114358234,Basic_4G,30,9,False,Xiaomi Redmi Note,5,False
919376950914,4044323642899,Pay_As_You_Go,30,9,False,Samsung S24,5,True
918603638132,4046694753717,Gold_Family,100,5,True,OnePlus 11,1,False
918049022285,4044422769157,Pay_As_You_Go,30,9,False,iPhone 15,5,False
918051533968,4044655663531,Super_Streamer_5G,100,5,True,OnePlus 11,1,True
918827423022,4048394045014,Pay_As_You_Go,30,9,False,Xiaomi Redmi Note,5,True
918830653953,4042442799147,Gold_Family,100,5,True,Xiaomi Redmi Note,1,False
918798420790,4041803414888,Pay_As_You_Go,30,9,False,Samsung S24,5,False
918374208653,4042562732644,Super_Streamer_5G,100,5,True,iPhone 15,1,True
918214513226,4049608428930,Basic_4G,30,9,False,Samsung S24,5,False
917006313907,4046183578938,Basic_4G,30,9,False,Xiaomi Redmi Note,5,True
918227794409,4045744971361,Basic_4G,30,9,False,Samsung S24,5,False
919433357799,4042576567862,Gold_Family,100,5,True,iPhone 15,1,True
917207078072,4044413262644,Gold_Family,100,5,True,Samsung S24,1,True
919077684144,4042476237773,Pay_As_You_Go,30,9,False,OnePlus 11,5,False
919626926800,4041890076324,Gold_Family,100,5,True,iPhone 15,1,True
917004138761,4048407545964,Pay_As_You_Go,30,9,False,iPhone 15,5,True
918659588957,4048526197235,Super_Streamer_5G,100,5,True,iPhone 15,1,False
919735883458,4041805702105,Basic_4G,30,9,False,Samsung S24,5,True
918042615837,4044453190388,Gold_Family,100,5,True,Samsung S24,1,False
918181863068,4046944675562,Super_Streamer_5G,100,5,True,iPhone 15,1,False
919547821258,4042412565839,Super_Streamer_5G,100,5,True,iPhone 15,1,True
919115528822,4044182701182,Pay_As_You_Go,30,9,False,OnePlus 11,5,False
918720718797,4043976772480,Gold_Family,100,5,True,OnePlus 11,1,True
919467067039,4041719722781,Gold_Family,100,5,True,OnePlus 11,1,False
919777253605,4041214914788,Gold_Family,100,5,True,Samsung S24,1,False
919744729709,4042716524708,Gold_Family,100,5,True,Xiaomi Redmi Note,1,True
919812112362,4046375044852,Gold_Family,100,5,True,iPhone 15,1,False
917890154419,4046089578600,Gold_Family,100,5,True,iPhone 15,1,True
918002516352,4041693392673,Super_Streamer_5G,100,5,True,iPhone 15,1,False
918553733811,4043323271536,Super_Streamer_5G,100,5,True,Xiaomi Redmi Note,1,True
917518536986,4049897440258,Super_Streamer_5G,100,5,True,iPhone 15,1,True
917467245370,4046616857473,Pay_As_You_Go,30,9,False,OnePlus 11,5,False
918327580792,4049327499581,Super_Streamer_5G,100,5,True,Xiaomi Redmi Note,1,True
917415872312,4041789782759,Gold_Family,100,5,True,Xiaomi Redmi Note,1,False
917097319034,4045823939569,Basic_4G,30,9,False,OnePlus 11,5,True
919947759796,4048951398377,Pay_As_You_Go,30,9,False,iPhone 15,5,True
917311585150,4047709493144,Gold_Family,100,5,True,OnePlus 11,1,True
919970777399,4047207195538,Basic_4G,30,9,False,iPhone 15,5,True
918897340405,4049358128198,Super_Streamer_5G,100,5,True,Xiaomi Redmi Note,1,True
918370741749,4043219279547,Super_Streamer_5G,100,5,True,Samsung S24,1,False
917451022971,4047837176225,Basic_4G,30,9,False,Samsung S24,5,True
918783780797,4049049633045,Super_Streamer_5G,100,5,True,iPhone 15,1,True
919530641947,4044685910882,Gold_Family,100,5,True,Samsung S24,1,False
917593990641,4041933049339,Pay_As_You_Go,30,9,False,Samsung S24,5,True
918887445704,4048572113540,Super_Streamer_5G,100,5,True,Xiaomi Redmi Note,1,True
917487025434,4045913032132,Super_Streamer_5G,100,5,True,OnePlus 11,1,False
919435781649,4047791364826,Pay_As_You_Go,30,9,False,iPhone 15,5,False
917290009934,4046531099627,Super_Streamer_5G,100,5,True,Xiaomi Redmi Note,1,True
917517385819,4043834541901,Gold_Family,100,5,True,iPhone 15,1,True
917727383143,4041545915465,Basic_4G,30,9,False,Samsung S24,5,True
919114248210,4042171699917,Gold_Family,100,5,True,OnePlus 11,1,False
919192343285,4047679163607,Gold_Family,100,5,True,Samsung S24,1,True
918986059649,4046996898191,Pay_As_You_Go,30,9,False,Samsung S24,5,True
918550214556,4048708155352,Pay_As_You_Go,30,9,False,iPhone 15,5,True
919743099018,4042903157119,Basic_4G,30,9,False,Xiaomi Redmi Note,5,True
918932727759,4045487775985,Pay_As_You_Go,30,9,False,iPhone 15,5,False
919803035799,4049270871170,Pay_As_You_Go,30,9,False,OnePlus 11,5,True
917744717966,4044837174005,Super_Streamer_5G,100,5,True,Samsung S24,1,False
918612459271,4048575629926,Super_Streamer_5G,100,5,True,OnePlus 11,1,True
917674130218,4045481127112,Gold_Family,100,5,True,iPhone 15,1,True
919936514218,4045917519947,Gold_Family,100,5,True,Xiaomi Redmi Note,1,False
917037763184,4048214828234,Super_Streamer_5G,100,5,True,Xiaomi Redmi Note,1,False
918922215854,4045419854347,Gold_Family,100,5,True,iPhone 15,1,False
918421579804,4041921060864,Gold_Family,100,5,True,Xiaomi Redmi Note,1,True
918135565998,4046115683157,Pay_As_You_Go,30,9,False,OnePlus 11,5,True
918420874164,4046114882820,Super_Streamer_5G,100,5,True,Samsung S24,1,False
918849057768,4044201689434,Pay_As_You_Go,30,9,False,Samsung S24,5,False
917779548884,4045220645402,Super_Streamer_5G,100,5,True,Samsung S24,1,False
917518955425,4042626498474,Pay_As_You_Go,30,9,False,Xiaomi Redmi Note,5,False
918438243691,4047178790384,Pay_As_You_Go,30,9,False,iPhone 15,5,False
918245683068,4047375979808,Super_Streamer_5G,100,5,True,iPhone 15,1,False
919536695961,4048928207736,Pay_As_You_Go,30,9,False,Samsung S24,5,True
917190082971,4041995049309,Super_Streamer_5G,100,5,True,Xiaomi Redmi Note,1,True
919841727283,4042839609322,Gold_Family,100,5,True,Xiaomi Redmi Note,1,False
917277473345,4049267211289,Gold_Family,100,5,True,Xiaomi Redmi Note,1,True
919048149418,4046464595771,Basic_4G,30,9,False,OnePlus 11,5,True
918340619767,4041728136109,Pay_As_You_Go,30,9,False,OnePlus 11,5,False
918803008357,4047016427163,Gold_Family,100,5,True,Samsung S24,1,False
918436746728,4048827238086,Pay_As_You_Go,30,9,False,OnePlus 11,5,False
919600451232,4041363704253,Super_Streamer_5G,100,5,True,Samsung S24,1,True
917750571174,4044671832982,Gold_Family,100,5,True,iPhone 15,1,True
918251786424,4046698530329,Super_Streamer_5G,100,5,True,OnePlus 11,1,False
917652780812,4048064825469,Gold_Family,100,5,True,Samsung S24,1,True
918711364092,4044355575347,Super_Streamer_5G,100,5,True,Samsung S24,1,False
919509942050,4041067201437,Super_Streamer_5G,100,5,True,iPhone 15,1,True
919572073874,4042076116974,Gold_Family,100,5,True,Xiaomi Redmi Note,1,False
919652547343,4046496532472,Super_Streamer_5G,100,5,True,OnePlus 11,1,False
918997442898,4046286609698,Super_Streamer_5G,100,5,True,Samsung S24,1,True
918868187423,4044221859862,Super_Streamer_5G,100,5,True,OnePlus 11,1,True
918888930561,4047760624216,Gold_Family,100,5,True,OnePlus 11,1,False
917649897637,4043547866914,Basic_4G,30,9,False,OnePlus 11,5,True
919970613657,4045349294056,Gold_Family,100,5,True,Samsung S24,1,False
918954335202,4043768111795,Basic_4G,30,9,False,OnePlus 11,5,True
919488423228,4042001884981,Gold_Family,100,5,True,iPhone 15,1,True
917611087006,4043423817988,Basic_4G,30,9,False,OnePlus 11,5,False
918631809674,4043203688606,Basic_4G,30,9,False,iPhone 15,5,False
919580961269,4045339832112,Gold_Family,100,5,True,OnePlus 11,1,True
919594209938,4042183842331,Basic_4G,30,9,False,Samsung S24,5,True
919043296206,4045826182328,Super_Streamer_5G,100,5,True,Xiaomi Redmi Note,1,False
917794972210,4046699584962,Super_Streamer_5G,100,5,True,OnePlus 11,1,True
919877851999,4043358448783,Pay_As_You_Go,30,9,False,OnePlus 11,5,False
918545316325,4049710495272,Gold_Family,100,5,True,Samsung S24,1,True
919836633889,4047219297393,Basic_4G,30,9,False,OnePlus 11,5,False
919297814037,4046783085584,Pay_As_You_Go,30,9,False,Samsung S24,5,True
919927635713,4049457922993,Pay_As_You_Go,30,9,False,Samsung S24,5,True
917092189544,4047849763271,Super_Streamer_5G,100,5,True,Xiaomi Redmi Note,1,True
917332156824,4048202254510,Basic_4G,30,9,False,iPhone 15,5,False
918838797349,4048371828969,Super_Streamer_5G,100,5,True,OnePlus 11,1,True
919648212103,4048899373242,Gold_Family,100,5,True,Samsung S24,1,False
919335889747,4044404005407,Super_Streamer_5G,100,5,True,Samsung S24,1,True
918898481587,4043545556927,Super_Streamer_5G,100,5,True,Xiaomi Redmi Note,1,True
917704644904,4044353363510,Gold_Family,100,5,True,Samsung S24,1,True
917712819834,4041183086877,Gold_Family,100,5,True,Xiaomi Redmi Note,1,True
919428707277,4045383284715,Pay_As_You_Go,30,9,False,iPhone 15,5,True
918205483047,4049012480771,Pay_As_You_Go,30,9,False,iPhone 15,5,True
918631203521,4046561187137,Basic_4G,30,9,False,OnePlus 11,5,False
918039615101,4042598263606,Gold_Family,100,5,True,iPhone 15,1,True
917576336730,4049003681603,Basic_4G,30,9,False,Xiaomi Redmi Note,5,True
917774409455,4041608877942,Basic_4G,30,9,False,OnePlus 11,5,False
918152341118,4046277414057,Basic_4G,30,9,False,OnePlus 11,5,True
917078861490,4048166479039,Basic_4G,30,9,False,Samsung S24,5,True
919497364924,4044536487861,Super_Streamer_5G,100,5,True,iPhone 15,1,True
917297891761,4044600675081,Pay_As_You_Go,30,9,False,Samsung S24,5,False
918978967453,4048544061898,Pay_As_You_Go,30,9,False,Xiaomi Redmi Note,5,True
918640147237,4041613805640,Gold_Family,100,5,True,iPhone 15,1,False
919193955601,4044700603528,Basic_4G,30,9,False,Samsung S24,5,True
918391596202,4041158533296,Basic_4G,30,9,False,OnePlus 11,5,False
918300921414,4046958592900,Pay_As_You_Go,30,9,False,OnePlus 11,5,False
918398681591,4044091114105,Basic_4G,30,9,False,Xiaomi Redmi Note,5,True
917517495875,4046306781908,Basic_4G,30,9,False,Xiaomi Redmi Note,5,True
918333952946,4044614331176,Gold_Family,100,5,True,Samsung S24,1,True
918966287183,4045033185812,Gold_Family,100,5,True,Xiaomi Redmi Note,1,True
919277181065,4044185875735,Pay_As_You_Go,30,9,False,OnePlus 11,5,True
917972223994,4048455754250,Basic_4G,30,9,False,iPhone 15,5,False
918723178905,4048579702094,Pay_As_You_Go,30,9,False,Xiaomi Redmi Note,5,False
919176734216,4047529999798,Gold_Family,100,5,True,iPhone 15,1,True
919791852876,4044342085505,Basic_4G,30,9,False,iPhone 15,5,False
919187813539,4046751034581,Super_Streamer_5G,100,5,True,Xiaomi Redmi Note,1,False
917182259289,4048915613961,Gold_Family,100,5,True,OnePlus 11,1,False
917407325128,4047390898986,Super_Streamer_5G,100,5,True,Samsung S24,1,False
919201217553,4047858218923,Gold_Family,100,5,True,Xiaomi Redmi Note,1,False
919386759170,4043423676781,Pay_As_You_Go,30,9,False,iPhone 15,5,False
918129585738,4044043389429,Super_Streamer_5G,100,5,True,OnePlus 11,1,True
918069963939,4043728618159,Basic_4G,30,9,False,iPhone 15,5,False
918154810143,4047944920144,Super_Streamer_5G,100,5,True,Xiaomi Redmi Note,1,False
919829226067,4046795468832,Basic_4G,30,9,False,Xiaomi Redmi Note,5,True
917185354069,4049493303109,Gold_Family,100,5,True,Xiaomi Redmi Note,1,True
918019245380,4042735913995,Super_Streamer_5G,100,5,True,Xiaomi Redmi Note,1,False
918068800616,4047926501742,Gold_Family,100,5,True,Samsung S24,1,False
917565432519,4047731181239,Gold_Family,100,5,True,Samsung S24,1,True
918800085891,4046449507033,Gold_Family,100,5,True,iPhone 15,1,False
917487125410,4043610142934,Gold_Family,100,5,True,Samsung S24,1,False
918672998829,4045956658414,Super_Streamer_5G,100,5,True,Xiaomi Redmi Note,1,True
918277490104,4044068363848,Basic_4G,30,9,False,Samsung S24,5,False
918631941210,4042326849134,Pay_As_You_Go,30,9,False,OnePlus 11,5,True
917418688713,4046170726279,Super_Streamer_5G,100,5,True,iPhone 15,1,False
918641251739,4048276874173,Pay_As_You_Go,30,9,False,Xiaomi Redmi Note,5,True
919478284700,4046654083111,Super_Streamer_5G,100,5,True,Samsung S24,1,True
917930657478,4045457251985,Super_Streamer_5G,100,5,True,Samsung S24,1,True
917087552535,4044250720809,Basic_4G,30,9,False,Xiaomi Redmi Note,5,False
917431003310,4048852289559,Basic_4G,30,9,False,Samsung S24,5,True
917362511441,4049966704781,Super_Streamer_5G,100,5,True,OnePlus 11,1,False
919184971338,4044872131678,Basic_4G,30,9,False,iPhone 15,5,False
917532330777,4045180122634,Gold_Family,100,5,True,iPhone 15,1,True
917535410746,4042563671723,Pay_As_You_Go,30,9,False,Xiaomi Redmi Note,5,False
918343479541,4042573318310,Pay_As_You_Go,30,9,False,iPhone 15,5,True
917877580010,4048428733708,Super_Streamer_5G,100,5,True,Xiaomi Redmi Note,1,False
919290768280,4048497217526,Gold_Family,100,5,True,OnePlus 11,1,False
918037547969,4042690463006,Pay_As_You_Go,30,9,False,Samsung S24,5,False
919934379293,4042563417127,Pay_As_You_Go,30,9,False,Xiaomi Redmi Note,5,False
919851752354,4048144613886,Gold_Family,100,5,True,iPhone 15,1,False
918321708773,4049765710126,Basic_4G,30,9,False,iPhone 15,5,True
919700658811,4049939442323,Gold_Family,100,5,True,Xiaomi Redmi Note,1,False
918115261663,4046048773289,Basic_4G,30,9,False,OnePlus 11,5,False
917984069222,4045637885169,Super_Streamer_5G,100,5,True,iPhone 15,1,False
918708707100,4049488943713,Basic_4G,30,9,False,Xiaomi Redmi Note,5,False
918672252242,4044323197330,Gold_Family,100,5,True,OnePlus 11,1,True
917393331249,4048456658349,Pay_As_You_Go,30,9,False,Xiaomi Redmi Note,5,False
919555546418,4044404183290,Super_Streamer_5G,100,5,True,OnePlus 11,1,True
919966776777,4041927381175,Gold_Family,100,5,True,OnePlus 11,1,True
919903077168,4049449823030,Pay_As_You_Go,30,9,False,Xiaomi Redmi Note,5,False
919617523592,4041120852144,Gold_Family,100,5,True,Samsung S24,1,True
919235456437,4047870147272,Gold_Family,100,5,True,OnePlus 11,1,False
918149786463,4048266018222,Pay_As_You_Go,30,9,False,Samsung S24,5,True
919420634311,4048660183406,Basic_4G,30,9,False,Xiaomi Redmi Note,5,True
918353345780,4041206197171,Basic_4G,30,9,False,iPhone 15,5,False
919594862876,4044972757039,Super_Streamer_5G,100,5,True,Samsung S24,1,False
918870305777,4049600668511,Basic_4G,30,9,False,Samsung S24,5,False
918078541068,4046900303441,Gold_Family,100,5,True,iPhone 15,1,True
917088425523,4045435216604,Basic_4G,30,9,False,Samsung S24,5,True
919233714117,4048545690376,Basic_4G,30,9,False,OnePlus 11,5,False
918756115724,4048890511864,Basic_4G,30,9,False,OnePlus 11,5,False
919897214430,4041637061194,Pay_As_You_Go,30,9,False,OnePlus 11,5,False
917728437423,4045849179443,Super_Streamer_5G,100,5,True,Xiaomi Redmi Note,1,False
917722012156,4045021158120,Super_Streamer_5G,100,5,True,iPhone 15,1,False
919504472667,4047955400310,Gold_Family,100,5,True,iPhone 15,1,True
919681387361,4041822312106,Super_Streamer_5G,100,5,True,iPhone 15,1,True
919524048099,4047993587054,Pay_As_You_Go,30,9,False,iPhone 15,5,True
919300457128,4047074600083,Basic_4G,30,9,False,Samsung S24,5,True
917368648600,4046591888163,Basic_4G,30,9,False,OnePlus 11,5,True
918500180700,4048707325851,Gold_Family,100,5,True,Xiaomi Redmi Note,1,True
917045179945,4049754690402,Basic_4G,30,9,False,iPhone 15,5,True
917831523439,4047787097121,Gold_Family,100,5,True,Xiaomi Redmi Note,1,False
918371377824,4043731422390,Basic_4G,30,9,False,iPhone 15,5,True
919882920521,4046290575225,Pay_As_You_Go,30,9,False,iPhone 15,5,True
918440839566,4042643488015,Basic_4G,30,9,False,iPhone 15,5,True
918593382575,4047496730331,Basic_4G,30,9,False,Xiaomi Redmi Note,5,True
917746578868,4047818112049,Basic_4G,30,9,False,Samsung S24,5,True
917479333698,4042164172499,Basic_4G,30,9,False,Xiaomi Redmi Note,5,False
917160663266,4043658085614,Pay_As_You_Go,30,9,False,Xiaomi Redmi Note,5,False
917022542433,4045196301593,Super_Streamer_5G,100,5,True,OnePlus 11,1,False
919682884395,4049099161437,Pay_As_You_Go,30,9,False,iPhone 15,5,True
919831848784,4043199627290,Basic_4G,30,9,False,OnePlus 11,5,False
917249941326,4044377180998,Pay_As_You_Go,30,9,False,Xiaomi Redmi Note,5,True
919716023961,4041253419789,Pay_As_You_Go,30,9,False,Samsung S24,5,False
919898229430,4048596336211,Gold_Family,100,5,True,OnePlus 11,1,True
919255653832,4047813947015,Gold_Family,100,5,True,Samsung S24,1,False
919316702007,4041464498084,Super_Streamer_5G,100,5,True,Xiaomi Redmi Note,1,True
918498971477,4048645021288,Gold_Family,100,5,True,Xiaomi Redmi Note,1,False
918963147992,4048030256654,Basic_4G,30,9,False,Xiaomi Redmi Note,5,True
918391859275,4048580761803,Gold_Family,100,5,True,OnePlus 11,1,True
918611174284,4046179939866,Pay_As_You_Go,30,9,False,OnePlus 11,5,False
919152495958,4046297342517,Basic_4G,30,9,False,OnePlus 11,5,False
919133917588,4045826767485,Pay_As_You_Go,30,9,False,Samsung S24,5,True
917947594957,4046615711308,Gold_Family,100,5,True,OnePlus 11,1,False
919015294316,4043589688072,Gold_Family,100,5,True,Samsung S24,1,True
917647634319,4045785858314,Gold_Family,100,5,True,iPhone 15,1,True
919606322404,4044785682011,Super_Streamer_5G,100,5,True,Samsung S24,1,True
917585181259,4042238595370,Pay_As_You_Go,30,9,False,OnePlus 11,5,False
919000528717,4044429849869,Basic_4G,30,9,False,OnePlus 11,5,True
919780592177,4048522390229,Gold_Family,100,5,True,OnePlus 11,1,True
918238554082,4042309674768,Pay_As_You_Go,30,9,False,Xiaomi Redmi Note,5,False
917809614102,4041972876058,Super_Streamer_5G,100,5,True,Samsung S24,1,True
919581414443,4045271699353,Pay_As_You_Go,30,9,False,Samsung S24,5,False
918818478063,4041738596718,Pay_As_You_Go,30,9,False,OnePlus 11,5,False
